"","workerid","utterance","response","feedback","orig_obj1","orig_obj2","orig_obj3","object1shape","object1pattern","object1color","object2shape","object2pattern","object2color","object3shape","object3pattern","object3color","preferenceDimension","Pref1","Pref2","Pref3","uttFeat","targetFeat","obj1OC27","obj2OC27","obj3OC27","targetObject","object2","object3"
"83",5,"blue",1,"Good",311,233,211,"square","plain","blue","circle","dotted","green","circle","plain","blue","shape","cloud","circle","square",3,1,3,26,2,3,26,2
"84",5,"blue",3,"VeryGood",321,232,221,"square","striped","blue","circle","dotted","red","circle","striped","blue","shape","cloud","circle","square",3,1,6,17,5,5,6,17
"85",5,"striped",3,"VeryGood",323,211,123,"square","striped","green","circle","plain","blue","cloud","striped","green","shape","cloud","circle","square",2,1,24,2,22,22,24,2
"86",5,"green",2,"Good",223,323,131,"circle","striped","green","square","striped","green","cloud","dotted","blue","shape","cloud","circle","square",3,1,23,24,7,24,23,7
"87",5,"blue",3,"VeryGood",132,311,111,"cloud","dotted","red","square","plain","blue","cloud","plain","blue","shape","cloud","circle","square",3,1,16,3,1,1,16,3
"88",5,"striped",3,"VeryGood",333,221,121,"square","dotted","green","circle","striped","blue","cloud","striped","blue","shape","cloud","circle","square",2,1,27,5,4,4,27,5
"89",5,"dotted",1,"VeryGood",132,332,111,"cloud","dotted","red","square","dotted","red","cloud","plain","blue","shape","cloud","circle","square",1,1,16,18,1,16,18,1
"90",5,"dotted",3,"VeryGood",332,113,132,"square","dotted","red","cloud","plain","green","cloud","dotted","red","shape","cloud","circle","square",1,1,18,19,16,16,18,19
"91",5,"red",1,"VeryGood",122,311,322,"cloud","striped","red","square","plain","blue","square","striped","red","shape","cloud","circle","square",3,1,13,3,15,13,3,15
"92",5,"plain",1,"VeryGood",213,313,321,"circle","plain","green","square","plain","green","square","striped","blue","shape","cloud","circle","square",1,1,20,21,6,20,21,6
"93",5,"striped",1,"VeryGood",121,321,233,"cloud","striped","blue","square","striped","blue","circle","dotted","green","shape","cloud","circle","square",2,1,4,6,26,4,6,26
"94",5,"red",3,"VeryGood",333,312,112,"square","dotted","green","square","plain","red","cloud","plain","red","shape","cloud","circle","square",3,1,27,12,10,10,27,12
"95",5,"green",2,"VeryGood",313,113,322,"square","plain","green","cloud","plain","green","square","striped","red","shape","cloud","circle","square",3,1,21,19,15,19,21,15
"96",5,"striped",1,"VeryGood",222,322,211,"circle","striped","red","square","striped","red","circle","plain","blue","shape","cloud","circle","square",2,1,14,15,2,14,15,2
"97",5,"striped",2,"VeryGood",323,223,211,"square","striped","green","circle","striped","green","circle","plain","blue","shape","cloud","circle","square",2,1,24,23,2,23,24,2
"98",5,"plain",3,"VeryGood",232,311,111,"circle","dotted","red","square","plain","blue","cloud","plain","blue","shape","cloud","circle","square",1,1,17,3,1,1,17,3
"99",5,"dotted",2,"VeryGood",233,133,322,"circle","dotted","green","cloud","dotted","green","square","striped","red","shape","cloud","circle","square",1,1,26,25,15,25,26,15
"100",5,"red",1,"VeryGood",122,331,222,"cloud","striped","red","square","dotted","blue","circle","striped","red","shape","cloud","circle","square",3,1,13,9,14,13,9,14
"101",6,"square",1,"VeryGood",322,323,231,"square","striped","red","square","striped","green","circle","dotted","blue","color","blue","red","green",1,3,15,24,8,15,24,8
"102",6,"plain",3,"VeryGood",212,323,211,"circle","plain","red","square","striped","green","circle","plain","blue","color","blue","red","green",1,3,11,24,2,2,11,24
"103",6,"plain",1,"Good",113,111,323,"cloud","plain","green","cloud","plain","blue","square","striped","green","color","blue","red","green",1,3,19,1,24,19,1,24
"104",6,"circle",2,"Good",321,213,212,"square","striped","blue","circle","plain","green","circle","plain","red","color","blue","red","green",1,3,6,20,11,20,6,11
"105",6,"circle",3,"VeryGood",213,133,211,"circle","plain","green","cloud","dotted","green","circle","plain","blue","color","blue","red","green",1,3,20,25,2,2,20,25
"106",6,"circle",2,"VeryGood",233,232,111,"circle","dotted","green","circle","dotted","red","cloud","plain","blue","color","blue","red","green",1,3,26,17,1,17,26,1
"107",6,"striped",2,"Good",222,223,311,"circle","striped","red","circle","striped","green","square","plain","blue","color","blue","red","green",2,3,14,23,3,23,14,3
"108",6,"circle",2,"VeryGood",331,212,213,"square","dotted","blue","circle","plain","red","circle","plain","green","color","blue","red","green",1,3,9,11,20,11,9,20
"109",6,"circle",1,"Good",233,232,112,"circle","dotted","green","circle","dotted","red","cloud","plain","red","color","blue","red","green",1,3,26,17,10,26,17,10
"110",6,"square",1,"VeryGood",312,223,313,"square","plain","red","circle","striped","green","square","plain","green","color","blue","red","green",1,3,12,23,21,12,23,21
"111",6,"square",2,"VeryGood",313,311,133,"square","plain","green","square","plain","blue","cloud","dotted","green","color","blue","red","green",1,3,21,3,25,3,21,25
"112",6,"plain",2,"Good",231,312,311,"circle","dotted","blue","square","plain","red","square","plain","blue","color","blue","red","green",1,3,8,12,3,12,8,3
"113",6,"square",2,"VeryGood",231,321,322,"circle","dotted","blue","square","striped","blue","square","striped","red","color","blue","red","green",1,3,8,6,15,6,8,15
"114",6,"plain",2,"VeryGood",121,212,213,"cloud","striped","blue","circle","plain","red","circle","plain","green","color","blue","red","green",1,3,4,11,20,11,4,20
"115",6,"cloud",2,"VeryGood",322,132,133,"square","striped","red","cloud","dotted","red","cloud","dotted","green","color","blue","red","green",1,3,15,16,25,16,15,25
"116",6,"circle",2,"Good",313,232,231,"square","plain","green","circle","dotted","red","circle","dotted","blue","color","blue","red","green",1,3,21,17,8,17,21,8
"117",6,"striped",1,"Good",323,112,322,"square","striped","green","cloud","plain","red","square","striped","red","color","blue","red","green",2,3,24,10,15,24,10,15
