"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"966","111","132","313","221","16","21","5","0.174","0.07","0.14","0.093","0.081","0.186","0.116","0.081","0.058","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"967","111","332","111","223","18","1","23","0.137","0.074","0.158","0.126","0.074","0.126","0.126","0.095","0.084","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"968","322b","331","311","231","9","3","8","0.286","0.086","0.271","0.286","0.071","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"969","322b","221","231","121","5","8","4","0.282","0.127","0.197","0.183","0.211","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"970","22a2b","331","333","213","9","27","20","0.228","0.123","0.14","0.105","0.211","0.193","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"971","322b","312","311","322","12","3","15","0.18","0.12","0.24","0.32","0.14","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"972","22a2a","123","123","211","22","22","2","0.111","0.167","0.13","0.204","0.278","0.111","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"973","211","223","331","132","23","9","16","0.104","0.119","0.134","0.149","0.104","0.119","0.134","0.134","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"974","111","112","323","231","10","24","8","0.074","0.16","0.099","0.086","0.099","0.099","0.074","0.148","0.16","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"975","22a2a","112","112","321","10","10","6","0.217","0.133","0.233","0.183","0.1","0.133","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"976","321","122","132","113","13","16","19","0","0.183","0.211","0.183","0.211","0.211","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"977","22a1","131","323","223","7","24","23","0.16","0.16","0.136","0.136","0.136","0.136","0.136","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"978","111","221","113","332","5","19","18","0.105","0.105","0.105","0.105","0.105","0.105","0.124","0.124","0.124","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"979","322b","321","322","331","6","15","9","0","0.227","0.273","0.25","0.25","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"980","22b1","223","232","131","23","17","7","0.125","0.125","0.15","0.15","0.15","0.15","0.15","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"981","22a2b","321","323","111","6","24","1","0.147","0.162","0.176","0.162","0.176","0.176","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"982","321","211","321","121","2","6","4","0.081","0.226","0.161","0.177","0.177","0.177","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"983","333","133","133","133","25","25","25","0.5","0","0.5","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"984","333","212","212","212","11","11","11","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"985","331","111","112","113","1","10","19","0","0","0.333","0.333","0.333","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"986","22b1","121","132","233","4","16","26","0.116","0.116","0.14","0.14","0.163","0.163","0.163","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"987","321","222","112","312","14","10","12","0","0.245","0.189","0.189","0.189","0.189","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"988","22a2a","323","323","112","24","24","10","0","0.255","0.213","0","0.213","0.319","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"989","333","223","223","223","23","23","23","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"990","322a","212","212","313","11","11","21","0","0.192","0.385","0.212","0.212","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"991","22a1","133","322","222","25","15","14","0.179","0.107","0.179","0.098","0.179","0.17","0.089","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"992","211","222","332","113","14","18","19","0.208","0.125","0.125","0.104","0.104","0.104","0.104","0.125","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"993","22b1","331","322","111","9","15","1","0.174","0.14","0.221","0.116","0.116","0.116","0.116","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"994","22a2b","211","111","123","2","1","22","0.235","0.136","0.198","0.123","0.185","0.123","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"995","111","332","223","111","18","23","1","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"996","211","131","113","222","7","19","14","0.176","0.118","0.118","0.118","0.118","0.118","0.118","0.118","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"997","111","133","311","222","25","3","14","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"998","111","211","332","123","2","18","22","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"999","331","312","311","313","12","3","21","0.279","0.279","0.147","0.147","0.147","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"1000","22a2b","312","211","231","12","2","8","0.19","0.127","0.241","0.127","0.19","0.127","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"1001","211","233","123","312","26","22","12","0.213","0.112","0.112","0.112","0.112","0.112","0.112","0.112","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"1002","22a2a","231","122","122","8","13","13","0.218","0.115","0.218","0.115","0.218","0.115","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1003","332","123","223","223","22","23","23","0.284","0.284","0.194","0.239","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"1004","322b","323","313","322","24","21","15","0.268","0.225","0.141","0.225","0.141","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"1005","22a2a","123","123","311","22","22","3","0.198","0.123","0.198","0.123","0.235","0.123","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1006","22a2a","333","333","122","27","27","13","0.188","0.188","0.188","0.188","0.178","0.069","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1007","322b","213","211","113","20","2","19","0.148","0.333","0.074","0.352","0.093","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"1008","311","113","121","132","19","4","16","0.643","0.036","0.036","0.179","0","0.071","0.036","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"1009","332","132","132","131","16","16","7","0.396","0.396","0.104","0.104","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"1010","331","321","331","311","6","9","3","0.312","0.312","0.125","0.125","0.125","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"1011","111","312","131","223","12","7","23","0.122","0.098","0.114","0.114","0.114","0.106","0.114","0.114","0.106","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"1012","22a2b","333","231","323","27","8","24","0.198","0.132","0.209","0.132","0.198","0.132","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"1013","22a2a","233","233","312","26","26","12","0.137","0.186","0.196","0.176","0.127","0.176","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1014","22a1","221","132","112","5","16","10","0.038","0.183","0.048","0.183","0.183","0.183","0.183","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"1015","332","233","233","333","26","26","27","0.048","0","0.048","0.905","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"1016","333","332","332","332","18","18","18","0.286","0.357","0.357","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"1017","22a2b","331","121","123","9","4","22","0.045","0.273","0.076","0.273","0.045","0.288","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"1018","322a","331","331","232","9","9","17","0.026","0","0.462","0.026","0.487","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"1019","22b2b","333","321","223","27","6","23","0.044","0.279","0.059","0.279","0.279","0.059","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"1020","22a2a","323","323","211","24","24","2","0.046","0.308","0.062","0.292","0.015","0.277","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1021","333","223","223","223","23","23","23","0.195","0.488","0.317","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"1022","322b","111","113","311","1","19","3","0","0.5","0","0.5","0","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"1023","22a2b","123","131","231","22","7","8","0.192","0.019","0.385","0.019","0.385","0","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"1024","333","132","132","132","16","16","16","0.382","0.529","0.088","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"1025","321","111","112","133","1","10","25","0.422","0","0.111","0.422","0.022","0.022","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"1026","22b1","131","311","322","7","3","15","0.019","0.352","0.241","0.019","0.019","0.352","0","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"1027","321","213","313","111","20","21","1","0.023","0.023","0.023","0.465","0.023","0.442","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"1028","333","222","222","222","14","14","14","0.048","0.952","0","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"1029","332","131","131","331","7","7","9","0.298","0.404","0.298","0","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"1030","321","332","112","122","18","10","13","0.043","0.826","0.043","0","0.043","0.043","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"1031","322b","323","321","313","24","6","21","0.043","0.087","0","0.043","0.826","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"1032","333","332","332","332","18","18","18","0.05","0.9","0.05","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"1033","22a2b","332","331","112","18","9","10","0","0.045","0.045","0.045","0","0.864","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"1034","22a2a","111","323","323","1","24","24","0.023","0.455","0.023","0.023","0.023","0.455","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1035","322a","122","212","212","13","11","11","0.024","0.024","0.452","0.024","0.476","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"1036","22a1","122","123","331","13","22","9","0.321","0.094","0.302","0.075","0.057","0.057","0.094","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"1037","22a2a","222","311","311","14","3","3","0.057","0.283","0.038","0.283","0.057","0.283","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1038","321","232","211","213","17","2","20","0.029","0.235","0.029","0.25","0.235","0.221","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"1039","311","233","323","113","26","24","19","0.01","0.15","0.17","0.17","0.16","0.16","0.18","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"1040","332","223","223","222","23","23","14","0.053","0.053","0.053","0.842","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"1041","22a2a","213","213","131","20","20","7","0.037","0.315","0.037","0.315","0.037","0.259","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1042","22a2b","211","213","323","2","20","24","0.037","0.296","0.019","0.315","0.019","0.315","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"1043","22a2b","321","122","112","6","13","10","0.051","0.305","0.051","0.271","0.034","0.288","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"1044","22a2b","321","331","233","6","9","26","0.036","0.304","0.054","0.304","0.036","0.268","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"1045","322a","331","233","233","9","26","26","0.049","0.049","0.415","0.049","0.439","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"1046","111","133","221","312","25","5","12","0.106","0.106","0.119","0.119","0.113","0.099","0.113","0.113","0.113","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"1047","22a2a","323","323","212","24","24","11","0.034","0.305","0.034","0.288","0.034","0.305","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1048","331","323","333","313","24","27","21","0.037","0.019","0.315","0.315","0.315","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"1049","22a2a","331","331","222","9","9","14","0.018","0.309","0.055","0.291","0.036","0.291","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1050","22a1","323","112","212","24","10","11","0.024","0.179","0.036","0.179","0.202","0.202","0.179","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"1051","111","111","223","332","1","23","18","0.14","0.008","0.14","0.008","0.132","0.147","0.14","0.147","0.14","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"1052","22a1","232","121","321","17","4","6","0.021","0.2","0.021","0.2","0.189","0.168","0.2","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"1053","211","113","211","332","19","2","18","0","0.164","0.164","0.026","0.155","0.164","0.164","0.164","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"1054","332","332","322","322","18","15","15","0.053","0","0.947","0","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"1055","22a2a","112","323","323","10","24","24","0.023","0.419","0.07","0.023","0.023","0.442","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1056","22a2a","312","312","231","12","12","8","0.051","0.305","0","0.305","0.034","0.305","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1057","321","112","332","232","10","18","17","0.021","0.021","0.104","0.396","0.083","0.375","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"1058","22a1","321","212","232","6","11","17","0.046","0.218","0.011","0.207","0.207","0.103","0.207","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"1059","332","221","221","223","5","5","23","0","0","0.261","0.739","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"1060","211","223","331","132","23","9","16","0.043","0.154","0.154","0.154","0.034","0.154","0.154","0.154","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"1061","22a1","212","222","131","11","14","7","0.031","0.208","0.052","0.198","0.146","0.177","0.188","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"1062","331","333","133","233","27","25","26","0.023","0.023","0.409","0.432","0.114","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"1063","22a2a","112","223","223","10","23","23","0.065","0.306","0.065","0.194","0.065","0.306","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1064","321","123","213","313","22","20","21","0.014","0.236","0","0.25","0.25","0.25","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"1065","22a2a","222","222","313","14","14","21","0.034","0.305","0.068","0.237","0.051","0.305","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1066","322a","323","121","121","24","4","4","0.194","0.194","0.226","0.177","0.21","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"1067","22a2a","211","211","133","2","2","25","0.333","0","0.333","0","0.333","0","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1068","211","113","322","221","19","15","5","0.333","0","0.333","0","0","0.333","0","0","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"1069","311","113","121","132","19","4","16","0.311","0.328","0.016","0.016","0.328","0","0","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"1070","22a2a","123","123","311","22","22","3","0.328","0","0.311","0.016","0.328","0.016","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1071","322b","233","223","323","26","23","24","0.322","0.322","0.017","0","0.339","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"1072","321","122","132","113","13","16","19","0.328","0","0.016","0.328","0.016","0.311","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"1073","331","212","232","222","11","17","14","0.333","0.333","0.333","0","0","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"1074","22a2a","133","322","322","25","15","15","0.333","0","0.317","0","0.333","0.017","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1075","22a2a","133","133","212","25","25","11","0.016","0.328","0.016","0.311","0.016","0.311","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1076","311","332","122","212","18","13","11","0.317","0.016","0.016","0.317","0.016","0","0.317","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"1077","22b1","321","122","231","6","13","8","0.016","0.302","0.317","0.016","0.016","0.317","0.016","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"1078","22a2a","223","223","112","23","23","10","0.016","0.328","0","0.328","0","0.328","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"1079","321","111","211","312","1","2","12","0.333","0.333","0","0.017","0.317","0","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"1080","22b1","133","223","212","25","23","11","0.311","0.016","0.016","0.311","0.016","0.016","0.311","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"1081","211","213","222","331","20","14","9","0.241","0","0","0.253","0","0.253","0.253","0","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"1082","333","111","111","111","1","1","1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
